db_col_name,csv_col_name
Extended_Debt_Code,Extended_Debt_Code
Client_Code,Client_Code
Client_Group,Client_Group
CMP_Complaint_Number,CMP_Complaint_Number
CMP_Received_Via,CMP_Received_Via
CMP_Enter_date,CMP_Enter_date
CMP_Made_Date,CMP_Made_Date
CMP_Logged_By,CMP_Logged_By
CMP_Source,CMP_Source
CMP_Issue_1,CMP_Issue_1
CMP_Sub_Issue_1,CMP_Sub_Issue_1
CMP_Issue_2,CMP_Issue_2
CMP_Sub_Issue_2,CMP_Sub_Issue_2
CMP_Issue_3,CMP_Issue_3
CMP_Sub_Issue_3,CMP_Sub_Issue_3
CMP_Details,CMP_Details
CMP_Expected_Outcome,CMP_Expected_Outcome
CMP_Preferred_Contact,CMP_Preferred_Contact
CMP_Action_Taken,CMP_Action_Taken
CMP_Warranted,CMP_Warranted
CMP_Default_Listing_Removed,CMP_Default_Listing_Removed
CMP_Default_Client,CMP_Default_Client
CMP_Escalate_To,CMP_Escalate_To
CMP_Callback,CMP_Callback
CMP_Reviewed_By,CMP_Reviewed_By
CMP_Review_Date,CMP_Review_Date
CMP_Outcome,CMP_Outcome
CMP_Priority,CMP_Priority
CMP_Referred_From_AFCA,CMP_Referred_From_AFCA
CMP_AFCA_Referred_Date,CMP_AFCA_Referred_Date
CMP_AFCA_Date_Required,CMP_AFCA_Date_Required
CMP_Status,CMP_Status
CMP_Status_Date,CMP_Status_Date
CMP_Info_Requested,CMP_Info_Requested
Unused_Col34,
Unused_Col34,Unnamed: 34
CMP_Info_Sent_Date,CMP_Info_Sent_Date
CMP_Client_Email_Sent,CMP_Client_Email_Sent
CMP_Entity,CMP_Entity
CMP_Impact,CMP_Impact
CMP_Impact_Details,CMP_Impact_Details
CMP_Ownership,CMP_Ownership
CMP_Referred_to_Client_Date,CMP_Referred_to_Client_Date
CMP_Severity,CMP_Severity
Westpac_Action,Westpac_Action
Westpac_Action_Description,Westpac_Action_Description
Westpac_Action_Hold_Date,Westpac_Action_Hold_Date
Westpac_Ref_Number,Westpac_Ref_Number
Afca_Case_Number,Afca_Case_Number
Zendesk_Ticket_Number,Zendesk_Ticket_Number
ZID,ZID
Client_Transfer_Date,Client_Transfer_Date
