db_col_name,csv_col_name
Full_Debt_Code,Full_Debt_Code
Client_Code,Client_Code
Client_Group,Client_Group
Short_Debt_Code,Short_Debt_Code
Account_No,Account_No
Debtor_Code,Debtor_Code
Orig_Debt,Orig_Debt
Debit_Amts,Debit_Amts
Paid_Amts,Paid_Amts
Prod,Prod
Date_Time_Entered,Date_Time_Entered
Comm_Code,Comm_Code
Accept_Date,Accept_Date
Non_Recov,Non-Recov
Diary_date,Diary_Date
Review_date,Review_Date
W_Off_Amts,W_Off_Amts
Debt_Account_No,Debt_Account_No
Client,Client
Debt_Ref_No,Debt_Ref_No
Debt_Ref_No2,Debt_Ref_No2
Debt_Ref_No3,Debt_Ref_No3
Debt_Ref_No_4,Debt_Ref_No_4
Next_Act,Next_Act
Next_Step_No,Next_Step_No
Curr_Act,Curr_Act
Prev_Action,Prev_Action
Operator,Operator
Status,Status
Date_of_Debt,Date_of_Debt
Date_Of_Debt_Desc,Date_Of_Debt_Desc
Mat_Nads,Mat_Nads
Cause_Code,Cause_Code
Last_Tran_Date,Last_Tran_Date
Comm_Amt,Comm_Amt
Ag_Costs_Acc,Ag_Costs_Acc
Ag_Costs_Rec,Ag_Costs_Rec
Non_Rec_Ag_Costs,Non-Rec_Ag_Costs
Cl_Chrg_Amts,Cl_Chrg_Amts
Cl_Non_Rec,Cl_Non-Rec
Database,Database
Debt_Type_Code,Debt_Type_Code
Closed,Closed
Insureds_Company_Surname,Insureds_Company_Surname
Insureds_First_Name,Insureds_First_Name
Address_Line1,Address_Line1
Address_Line2,Address_Line2
Pl_Street_Name,Pl_Street_Name
Plaint_Suburb,Plaint_Suburb
Pl_State,Pl_State
Pl_PCode,Pl_PCode
Plaint_Phone_H,Plaint_Phone_(H)
Pl_Phone_W,Pl_Phone_W
Plaint_Fax_No,Plaint_Fax_No
Plaint_Ph_M,Plaint_Ph_M
Excess,Excess
Excess_Refunded,Excess_Refunded
Last_Pay_Amt,Last_Pay_Amt
Last_Pay,Last_Pay
Ref_Exc,Ref_Exc
Date_Of_Demand,Date_Of_Demand
Amt_Pay_On_Hold,Amt_Pay_On_Hold
Int_Rate,Int_Rate
Conv_Date,Conv_Date
Trading_Name,Trading_Name
Address_Line1_1,Address_Line1.1
Address_Line2_1,Address_Line2.1
Street_Suburb,Street_Suburb
Street_State,Street_State
Street_Post_Code,Street_Post_Code
Trading_Address,Trading_Address
Debt_Description,Debt_Description
Prev_Op,Prev_Op
Acn_No,Acn_No
Plaintiff_Trading_Name,Plaintiff_Trading_Name
Tp_Ins,Tp_Ins?
Max_Comm,Max_Comm
Cl_Last_Note_date,Cl_Last_Note_Date
Plaintiff_Email_Address,Plaintiff_Email_Address
Div,Div
Sol_Time_Billing_Keys,Sol_Time_Billing_Keys
STB_Keys_to_Invoice,STB_Keys_to_Invoice
Date_Xfer_Ag,Date_Xfer_Ag
Transfer_To_Agent,Transfer_To_Agent
Select_Debt_For_Corro_Wq,Select_Debt_For_Corro_Wq
Closed_By_Operator,Closed_By_Operator
Cl_Int_Rate,Cl_Int_Rate
Cl_Int_St_date,Cl_Int_St_Date
Campaign_Code,Campaign_Code
Worktype,Worktype
Date_Proof_Of_Loss,Date_Proof_Of_Loss
Close_Method,Close_Method
Client_Subsidary_Key,Client_Subsidary_Key
Privacy_Act,Privacy_Act
Operator_Change_Log_Key,Operator_Change_Log_Key
Op_Info,Op_Info
Blocked_In_Letter,Blocked_In_Letter
Quantum_Calculator_Amounts,Quantum_Calculator_Amounts
Office,Office
Off_Tfr_to,Off_Tfr_to
Date_File_Transferred,Date_File_Transferred
Total_Loss_Claim_Repairable_Claim_Cash_Sett_Excess_Only,Total_Loss_Claim_Repairable_Claim_Cash_Sett_Excess_Only
Repair_Cost,Repair_Cost
Prior_Accident_Value,Prior_Accident_Value
Cash_Sett,Cash_Sett
Excess_Amount,Excess_Amount
Salv_Sale_Cost,Salv_Sale_Cost
Assess_Fee,Assess_Fee
Towing_Cost,Towing_Cost
Personal_Effects_Value,Personal_Effects_Value
Loss_Of_Use_Amount,Loss_Of_Use_Amount
Uninsured_Loss_Amount,Uninsured_Loss_Amount
Salvage_Retained,Salvage_Retained
Gst_Of_Excess_02_Payment,Gst_Of_Excess_02_Payment
Other_Costs,Other_Costs
Total_Tax_Invoices_Paid,DB_Total_Tax_Invoices_Paid
Recovery_By_Insurance_Company,DB_Recovery_By_Insurance_Company
Recovery_Of_Excess_As_Agent,DB_Recovery_Of_Excess_As_Agent
Salvage_Value,Salvage_Value
GST_ITC_Amount,GST_ITC_Amount
Amount_Paid_Before_Referral,Amount_Paid_Before_Referral
Excess_On_Repair_Invoices,Excess_On_Repair_Invoices
Excess_Paid_To_Insurer,Excess_Paid_To_Insurer
Registration_Refund,Registration_Refund
Total_Tax_Invoices_Paid_1,Total_Tax_Invoices_Paid
Recovery_By_Insurance_Company_1,Recovery_By_Insurance_Company
Recovery_Of_Excess_As_Agent_1,Recovery_Of_Excess_As_Agent
Sum_Insured_Amount,Sum_Insured_Amount
Quantum_Confirmed,Quantum_Confirmed
Source,Source
Service_Type,Service_Type
Insureds_Salutation,Insureds_Salutation
Insureds_Title,Insureds_Title
Status_history,Status_history
Zone_Code,Zone_Code
Sol_Ref_No,Sol_Ref_No
Client_Operator_Key,Client_Operator_Key
Date_Re_openned,Date_Re-openned
Practice_Evolve_Matter_Id,Practice_Evolve_Matter_Id
Result_Code,Result_Code
Result_Code_Hst,Result_Code_Hst
Result_date,Result_Date
Result_Date_History,Result_Date_History
Result_Return_date,Result_Return_Date
Successful_Search_On_File_Conducted,Successful_Search_On_File_Conducted
Returned_Mail_Indicators,Returned_Mail_Indicators
Returned_Mail_Reason_Code,Returned_Mail_Reason_Code
Search_Req_date_Sent,Search_Req_date_Sent
Db_Rmsent,Db_Rmsent
Db_Rmretn,Db_Rmretn
CC_Pay_date,CC_Pay_Date
CC_Pay_Amount,CC_Pay_Amount
CC_Pay_Oper,CC_Pay_Oper
CC_Receipt_No,CC_Receipt_No
Stat_Code_Hist_date_time,Stat_Code_Hist_Date_Time
Stat_Code_Hist_Op,Stat_Code_Hist_Op
Work_Type_Detail,Work_Type_Detail
Overide_Special_Letter_Block,Overide_Special_Letter_Block
Complaint_Sql_Upd_Flag,Complaint_Sql_Upd_Flag
Related_Party,Related_Party
Insured_Block_Letter,Insured_Block_Letter
Result_Return_History_Date_Time,Result_Return_History_Date_Time
Result_Time,Result_Time
Closed_Transfer_date,Closed_Transfer_Date
System_Update_Message_Read,System_Update_Message_Read
Complaint_Code,Complaint_Code
Client_Note_date,Client_Note_Date
Qld_Link_Ids,Qld_Link_Ids
Sfl_Offer_Start_date,Sfl_Offer_Start_Date
Sfl_End_date,Sfl_End_Date
Apply_Future_Sfl_Campaign_Code,Apply_Future_Sfl_Campaign_Code
Original_Balance,Original_Balance
Excess_Paid,Excess_Paid
Score_Colour_DB,Score_Colour_DB
Exposure_Number,Exposure_Number
CCPay_Time,CCPay_Time
Db_Sfleoddate,Db_Sfleoddate
Db_Futuresflcreateddate,Db_Futuresflcreateddate
Salvage_Proceeds_Gross,Salvage_Proceeds_Gross
Salvage_Commission_Gross,Salvage_Commission_Gross
Tow_Costs_Gross,Tow_Costs_Gross
Other_Costs_1_Gross,Other_Costs_1_Gross
Other_Costs_2_Gross,Other_Costs_2_Gross
Other_Costs_3_Gross,Other_Costs_3_Gross
Other_Costs_1,Other_Costs_1
Other_Costs_2,Other_Costs_2
Other_Costs_3,Other_Costs_3
Division78_Claims_Expense_Incurred,Division78_Claims_Expense_Incurred
Pre_Accident_Value,Pre_Accident_Value
Accepted_Pav,Accepted_Pav
Agreed_Value,Agreed_Value
Migration_Type,Migration_Type
Archived_Hardship_Keys,Archived_Hardship_Keys
Operator_Hist_date,Operator_Hist_Date
Operator_Hist_Time,Operator_Hist_Time
New_Operator_Code,New_Operator_Code
Previous_OP_Operator_Code,Previous_OP_Operator_Code
Sfl_Delegation_Percent,DB_Sfl_Delegation_Percent
Balance_Discrepancy_Tally,Balance_Discrepancy_Tally
Client_Status_Transfer,Client_Status_Transfer
Pii_Removed,Pii_Removed
Sfl_Delegation_Percent_1,Sfl_Delegation_Percent
DRMATTER_Details,DRMATTER_Details
Date_Legal,Date_Legal
MA_Status,MA_Status
Plaint_No,Plaint_No
Jd_Code,Jd_Code
Takeup_date,Takeup_Date
Time_Entered,Time_Entered
Jud_Debit_Bals,Jud_Debit_Bals
Jud_Paid,Jud_Paid
Judg_Amts,Judg._Amts
Judg_date,Judg._Date
Step_Code,Step_Code
Serve_Debtor,Serve_Debtor
Judg_Adj_Trans,Judg._Adj._Trans.
Agent_Solicitor_Code,Agent_Solicitor_Code
Solicitor_Code,Solicitor_Code
Date_Closed,Date_Closed
Court,Court
Warrant_Number,Warrant_Number
Magistrate_Registrar_Name,Magistrate_Registrar_Name
Venue_Court,Venue_Court
Paid_Summons_To_Judg_Before_Received,Paid_Summons_To_Judg_Before_Received
Reason_Closed,Reason_Closed
Last_Pay_Amt_1,MA_Last_Pay_Amt
Last_Pay_Date,Last_Pay_Date
Ms_Charges,Ms_Charges
Ms_Tr_Keys,Ms_Tr_Keys
Pays_On_Hold,Pays_On_Hold
Amt_Pay_On_Hold_1,MA_Amt_Pay_On_Hold
Date_Matter_Was_Last_Printed,Date_Matter_Was_Last_Printed
Open_Letter_Text,Open_Letter_Text
Disc_Perc,Disc._Perc
Closure_Action_Code,Closure_Action_Code
Client_Status_Code,Client_Status_Code
Reason_for_Referral,Reason_for_Referral
Arrange_deal_Clk,Arrange_deal_Clk
Arrange_deal_Ops,Arrange_deal_Ops
Statement_Of_Debt_Request,Statement_Of_Debt_Request
Authority_Dtls_date,Authority_Dtls_Date
Authority_Details_Name,Authority_Details_Name
Closure_Details,Closure_Details
Legal_Hold_date,Legal_Hold_Date
Current_Treatment,Current_Treatment
Next_Step_No_1,MA_Next_Step_No
Next_Treatment_Date,Next_Treatment_Date
Treatment_Dialler_Flag,Treatment_Dialler_Flag
Paused_Treatment,Paused_Treatment
Paused_Treatment_Step,Paused_Treatment_Step
Last_Treatment_Step_Date,Last_Treatment_Step_Date
Alloc_type,Alloc.type
Treatment_Allocation_Date,Treatment_Allocation_Date
Paused_Treatment_Alloc_Type,Paused_Treatment_Alloc._Type
Paused_Treatment_Alloc_date,Paused_Treatment_Alloc._Date
First_Party_Treatment_Last_Step_Actioned,First_Party_Treatment_Last_Step_Actioned
Initial_Treatment,Initial_Treatment
Legal_Client_Representative,Legal_Client_Representative
Legal_Approved_date,Legal_Approved_Date
Recovery_Update_date,Recovery_Update_Date
RCL_Funded_Y_N,RCL_Funded_YN
Netsuite_Supplier_Invoice_Keys,Netsuite_Supplier_Invoice_Keys
Acc_Levy,Acc_Levy
Nzta_Levy,Nzta_Levy
Written_Off_Flag,Written_Off_Flag
Write_Off_Reason,Write_Off_Reason
SystemID,SystemID
Cause_Description,Cause_Description
