db_col_name,csv_col_name
Extended_Debt_Code,Extended_Debt_Code
Client_Code,Client_Code
Client_Group,Client_Group
Arrangement_Date,Arrangement_Date
Agreed_Amount,Agreed_Amount
Op_Code,Op_Code
Arrangement_Type,Arrangement_Type
No_Instalments,No_Instalments
First_Instal_Date,First_instal_Date
Last_Instal_Date,Last_Instal_Date
Next_Instal_Date,Next_Instal_Date
Next_Instal_Amount,Next_Instal_Amount
Frequency,Frequency
SMS_Reminder_Flag,SMS_Reminder_Flag
SMS_Mobile,SMS_Mobile
Total_Paid,Total_Paid
Total_Outstanding,Total_Outstanding
Payment_Method,Payment_Method
DD_BSB_Code,DD_BSB_Code
DD_Account_Number,DD_Account_Number
DD_Account_Name,DD_Account_Name
CC_Card_Number,CC_Card_Number
CC_Expiry_Month,CC_Expiry_Month
CC_Expiry_Year,CC_Expiry_year
CC_Card_Name,CC_Card_Name
CC_Token,CC_Token
Bal_At_Time_Of_Offer,Bal_At_Time_Of_Pffer
Instalment_Date,Instalment_Date
Instalment_Amount,Instalment_Amount
Actual_Amount_Paid,Actual_Amount_Paid
Payment_Allocation,Payment_Allocation
Amount_Deferred,Amount_Deferred
Payment_Number,Payment_Number
Amount_In_Arrears,Amount_In_Arrears
Current_Instalment_Amount,Current_Instalment_Amount
Paid_In_Advance,Paid_In_Advance
Paid_Off_Next_Instalment,Paid_Off_Next_Instalment
Number_Of_Defaults,Number_Of_Defaults
Number_Of_Part_Payments,Number_Of_Part_Payments
End_Of_Month_Offset,End_Of_Month_Offset
Paid_Off_Overdue,Paid_Off_Overdue
Paid_Since_Previous_Instalment,Paid_Since_Previous_Instalment
Downpayment_Amount,Downpayment_Amount
Downpayment_Date,Downpayment_Date
Grace_Period,Grace_Period
Review_Date,Review_Date
Allow_Payment_In_Advance,Allow_Payment_In_Advance
Direct_Deposit_Set_Date,Direct_Deposit_Set_Date
Direct_Debit_Selected,Direct_Debit_Selected
Direct_Deposit_Selected_History,Direct_Deposit_Selected_History
DD_Payment_Dates,DD_Payment_Dates
DD_Payment_Amounts,DD_Payment_Amounts
Status,Status
Client_Status,Client_Status
Debtor_Code,Debtor_Code
Payment_Number_Since_Previous_Instalment,Payment_Number_Since_Previous_Instalment
Payment_Amount_Since_Previous_Instalment,Payment_Amount_Since_Previous_Instalment
Rep_Bank_Details_Flag,Rep_Bank_Details_Flag
Email_Reminder_Flag,Email_Reminder_Flag
Email_Address,Email_Address
Transferred_To_Client_Date,Transferred_To_Client_Date
Last_SMS_Sent,Last_SMS_Sent
SMS_Sent_History,SMS_Sent_History
CCPAY_Done,CCPAY_Done
Retry_Payment_Selected,Retry_Payment_Selected
Rebate_Instalment_Date,Rebate_Instalment_Date
Rebate_Date_Op,Rebate_Date_op
Rebate_Change_Date,Rebate_Change_Date
Amend_Date,Amend_Date
Amend_Operator,Amend_Operator
First_Payment_Manual_Flag,First_Payment_Manual_Flag
Confirmation_Letter,Confirmation_Letter
Confirmation_Letter_Type,Confirmation_Letter_Type
