db_col_name,csv_col_name
Debtor_Code,Full_Debt_Code
Client_Code,Client_Code
Client_Group,Client_Group
Chg_DEB,Chg_DEB
Paid_DEB,Paid_DEB
Chg_REF,Chg_REF
Paid_REF,Paid_REF
Chg_ADM,Chg_ADM
Paid_ADM,Paid_ADM
Chg_IBS,Chg_IBS
Paid_IBS,Paid_IBS
Chg_IBJ,Chg_IBJ
Paid_IBJ,Paid_IBJ
Chg_IAJ,Chg_IAJ
Paid_IAJ,Paid_IAJ
Chg_LET,Chg_LET
Paid_LET,Paid_LET
Chg_POR,Chg_POR
Paid_POR,Paid_POR
Chg_MPL,Chg_MPL
Paid_MPL,Paid_MPL
Chg_BNK,Chg_BNK
Paid_BNK,Paid_BNK
Chg_SHR,Chg_SHR
Paid_SHR,Paid_SHR
Chg_SHN,Chg_SHN
Paid_SHN,Paid_SHN
Chg_LOC,Chg_LOC
Paid_LOC,Paid_LOC
Chg_FCA,Chg_FCA
Paid_FCA,Paid_FCA
Chg_REP,Chg_REP
Paid_REP,Paid_REP
Chg_SEC,Chg_SEC
Paid_SEC,Paid_SEC
Chg_COU,Chg_COU
Paid_COU,Paid_COU
Chg_PRE,Chg_PRE
Paid_PRE,Paid_PRE
Chg_SSC,Chg_SSC
Paid_SSC,Paid_SSC
Chg_ESC,Chg_ESC
Paid_ESC,Paid_ESC
Chg_BAR,Chg_BAR
Paid_BAR,Paid_BAR
Chg_CRT,Chg_CRT
Paid_CRT,Paid_CRT
Chg_SRV,Chg_SRV
Paid_SRV,Paid_SRV
Chg_ATS,Chg_ATS
Paid_ATS,Paid_ATS
Chg_ADS,Chg_ADS
Paid_ADS,Paid_ADS
Chg_KIL,Chg_KIL
Paid_KIL,Paid_KIL
Chg_CMO,Chg_CMO
Paid_CMO,Paid_CMO
Chg_HEA,Chg_HEA
Paid_HEA,Paid_HEA
Chg_AFF,Chg_AFF
Paid_AFF,Paid_AFF
Chg_OTH,Chg_OTH
Paid_OTH,Paid_OTH
Chg_COJ,Chg_COJ
Paid_COJ,Paid_COJ
Chg_ADR,Chg_ADR
Paid_ADR,Paid_ADR
Chg_ADN,Chg_ADN
Paid_ADN,Paid_ADN
Chg_BAI,Chg_BAI
Paid_BAI,Paid_BAI
Chg_REG,Chg_REG
Paid_REG,Paid_REG
Chg_DEBR,Chg_DEBR
Paid_DEBR,Paid_DEBR
Chg_DEBW,Chg_DEBW
Paid_DEBW,Paid_DEBW
Chg_SERV,Chg_SERV
Paid_SERV,Paid_SERV
Chg_SUND,Chg_SUND
Paid_SUND,Paid_SUND
Chg_UIL,Chg_UIL
Paid_UIL,Paid_UIL
Chg_SCN,Chg_SCN
Paid_SCN,Paid_SCN
Chg_VLC,Chg_VLC
Paid_VLC,Paid_VLC
Chg_ILD,Chg_ILD
Paid_ILD,Paid_ILD
Chg_VLD,Chg_VLD
Paid_VLD,Paid_VLD
Chg_ILC,Chg_ILC
Paid_ILC,Paid_ILC
Chg_PHC,Chg_PHC
Paid_PHC,Paid_PHC
Chg_AHF,Chg_AHF
Paid_AHF,Paid_AHF
Chg_ICS,Chg_ICS
Paid_ICS,Paid_ICS
Chg_LIST,Chg_LIST
Paid_LIST,Paid_LIST
Chg_SHRF,Chg_SHRF
Paid_SHRF,Paid_SHRF
Chg_SHRC,Chg_SHRC
Paid_SHRC,Paid_SHRC
Chg_SRVI,Chg_SRVI
Paid_SRVI,Paid_SRVI
Chg_SRVC,Chg_SRVC
Paid_SRVC,Paid_SRVC
Chg_CLC,Chg_CLC
Paid_CLC,Paid_CLC
Chg_STB,Chg_STB
Paid_STB,Paid_STB
Chg_SEB,Chg_SEB
Paid_SEB,Paid_SEB
Chg_AUD,Chg_AUD
Paid_AUD,Paid_AUD
Chg_SCOS,Chg_SCOS
Paid_SCOS,Paid_SCOS
Chg_ARC,Chg_ARC
Paid_ARC,Paid_ARC
Chg_ICL,Chg_ICL
Paid_ICL,Paid_ICL
Chg_SAP,Chg_SAP
Paid_SAP,Paid_SAP
Chg_ACOM,Chg_ACOM
Paid_ACOM,Paid_ACOM
Chg_COL,Chg_COL
Paid_COL,Paid_COL
Chg_INT,Chg_INT
Paid_INT,Paid_INT
Chg_BCOM,Chg_BCOM
Paid_BCOM,Paid_BCOM
Chg_PMA,Chg_PMA
Paid_PMA,Paid_PMA
Chg_LATE,Chg_LATE
Paid_LATE,Paid_LATE
Chg_AKF,Chg_AKF
Paid_AKF,Paid_AKF
Chg_EST,Chg_EST
Paid_EST,Paid_EST
Chg_BRE,Chg_BRE
Paid_BRE,Paid_BRE
Chg_DAR,Chg_DAR
Paid_DAR,Paid_DAR
