db_col_name,csv_col_name
Extended_Debt_Code,Extended_Debt_Code
Client_Code,Client_Code
Client_Group,Client_Group
Date_of_Deal,Date_of_Deal
Due_Date,Due_Date
Deal_Amount,Deal_Amount
Op_Code,Op_Code
Deal_Type,Deal_Type
No_Instalments,No_Instalments
First_Instalment,First_Instalment
Last_Instal_Date,Last_Instal_Date
Payment_Dates,Payment_Dates
Payment_Amounts,Payment_Amounts
Payment_Method,Payment_Method
SMS_Reminder,SMS_Reminder
SMS_Mobile,SMS_Mobile
Total_Paid,Total_Paid
Total_Outstanding,Total_Outstanding
DD_BSB_Code,DD_BSB_Code
DD_Account_Number,DD_Account_Number
DD_Account_Name,DD_Account_Name
CC_Card_Number,CC_Card_Number
CC_Expiry_Month,CC_Expiry_Month
CC_Expiry_Year,CC_Expiry_Year
CC_Card_Name,CC_Card_Name
CC_Token,CC_Token
Bal_At_Tme_Of_Offer,Bal_At_Tme_Of_Offer
Instalment_Date,Instalment_Date
Instalment_Amt,Instalment_Amt
Payment_Date,Payment_Date
Payment_Amount,Payment_Amount
Payment_Number,Payment_Number
Email_Address,Email_Address
Email_Reminder_Flag,Email_Reminder_Flag
Status,Status
Direct_Debit_Selected,Direct_Debit_Selected
Direct_Deposit_Selected,Direct_Deposit_Selected
Transferred_To_Client_Date,Transferred_To_Client_Date
Payment_Allocation_Amt,Payment_Allocation_Amt
Payment_Date_Cleared,Payment_Date_Cleared
No_Of_Time_End_Date_Extended,No_Of_Time_End_Date_Extended
De_Inckpi,De_Inckpi
SMS_Sent_History,SMS_Sent_History
Ccpay,Ccpay
Confirmation_Letter,Confirmation_Letter
Client_Status,Client_Status
