db_col_name,csv_col_name
Debt_Code,Extended_Debt_Code
Client_Code,Client_Code
Client_Group_Code,Client_Group_Code
Account_No,Account_No
Debtor_Code,Debtor_Code
Company_Surname,Company_Surname
First_Name,First_Name
Street_Address,Street_Address
Leg_Type,Leg_Type
Salutation,Salutation
Mailing_Address,Mailing_Address
Legal_Address,Legal_Address
Date_Time_Entered,Date_Time_Entered
Fax_No,Fax_No
Drivers_Licence,Drivers_Licence
Car_Reg_No,Car_Reg_No
Contact,Contact
Title,Title
Trading_Name,Trading_Name
Aliases,Aliases
Sex,Sex
Email_Addr,Email_Addr
A_C_N,ACN
Birth_Date,Birth_Date
Employer_Name,Employer_Name
Employers_Address,Employers_Address
Employers_Phone_H,Employers_Phone_(H)
Employers_Phone_H_1,Employers_Phone_(F)
Employers_Phone_H_2,Employers_Phone_(M)
Employers_Contact,Employers_Contact
A_B_N,ABN
External_Contact_March_Flag,External_Contact March Flag
External_Match_Request_Sent,External_Match_Request_Sent
External_Match_Received_Date,External_Match_Received_Date
Company_Name_Searched,Company_Name_Searched
Acn_Number_Searched,ACN_Number_Searched
ABN_Number_Searched,ABN_Number_Searched
Date_Registered,Date_Registered
Director_Name,Director_Name_1
Director_Dob,Director_Dob_1
Director_Name_1,Director_Name_2
Director_Dob_1,Director_Dob_2
Operator_Entering_Search,Operator_Entering_Search
Search_Date_Entered,Search_Date_Entered
Company_Search_Time,Company_Search_Time
Sol_Code,Sol_Code
Solicitors_Reference,Solicitors_Reference
Representative_Name,Representative_Name
Rep_Other_Info,Rep_Other_Info
Rep_Home_Ph,Rep_Home_Ph
Search_Look_Up_String,Search_Look_Up_String
Contact_Rep_First,Contact_Rep_First
Customer_Reference,Customer_Reference
Debtor_Relationship,Debtor_Relationship
Police_Report,Police_Report_#
Debt_Relationship,Debt_Relationship
Driver_Licence_State,Driver_Licence_State
Phone_C,Phone_(C)
Rep_Start_Dte,Rep_Start Dte
Rep_End_Dte,Rep_End_Dte
Mail_Rep_First,Mail_Rep_First
Block_Letter,Block_Letter
Representative_Block_Letter,Representative_Block_Letter
Address,Address
column64,Default_Address
Person_Id,Person_Id_1
Person_Type,Person_Type
Nationality,Nationality
Id_Type,Id_Type
Id_Detail,Id_Detail
Special_Needs,Special_Needs
Privacy_Act_Read,Privacy_Act_Read
AddrVal_Skip_By,AddrVal_Skip_By
AddrVal_Skip_Dte,AddrVal_Skip_Dte
AddrVal_Skip_Level,AddrVal_Skip_Level
Date_Last_Sequenced,Date_Last_Sequenced
Email,Email
Police_Station,Police_Station
Police_Station_Phone_No,Police_Station_Phone_No
Police_Station_Contact_Officer,Police_Station_Contact_Officer
Representative_Date_Of_Birth,Representative_Date_Of_Birth
People_Key,People_Key
Debtor_Other_Phone_Numbers,Debtor_Other_Phone_Numbers
Debtor_Other_Email_Addresses,Debtor_Other_Email_Addresses
Bankruptcy,Bankruptcy
Bankruptcy_Number,Bankruptcy_Number
Bank_Branch,Bank_Branch
Phone_Number,Phone_Number
Ph_Type,Ph_Type
Ph_Valid,Ph_Valid
Phone_Start,Phone_Start
Phone_End,Phone_End
Phone_Seq,Phone_Seq
Phone_Last_Contact_Date_Time,Phone_Last_Contact_Date_Time
Phone_Score,Phone_Score
Rep,Rep
Phone_Preferred_Flag,Phone_Preferred_Flag
Ph_Change_Date_Time,Ph_Change_Date_Time
Ph_Changed_By,Ph_Changed_By
Phone_Source,Phone_Source
Scorecolourload,Scorecolourload
Debtageload,Debtageload
Deceased_Flag,Deceased_Flag
Date_Last_Used,Date_Last_Used
Preferred_Channel,Preferred_Channel
Date_Last_Used_1,Correspondence_Date_Last_Used
First_Time,First_Time
Second_Time,Second_Time
Third_Time,Third_Time
Fourth_Time,Fourth_Time
Fifth_Time,Fifth_Time
Passport_Number,Passport_Number
Dw_Provider,Dw_Provider
Dw_Last_Sent,Dw_Last_Sent
Dw_Last_Return_Provider,Dw_Last_Return_Provider
Dw_Last_Return_Date,Dw_Last_Return_Date
Company_Industry,Company_Industry
Field_Call_Addresses,Field_Call_Addresses
Police_Email,Police_Email
Preferred_Contact_Method,Preferred_Contact_Method
Block_SMS,Block_SMS
Block_Email,Block_Email
Representative_Block_SMS,Representative_Block_SMS
Representative_Block_Email,Representative_Block_Email
Sent_To_Dialler,Sent_To_Dialler
Preferred_Language,Preferred_Language
Workcover,Workcover
Insurance_Company,Insurance_Company
Insurance_Claim_Number,Insurance_Claim_Number
Relation_1,Relation_1
Relation_2,Relation_2
Relation_3,Relation_3
Bankruptcy_Date,Bankruptcy_Date
Bankruptcy_Administrator,Bankruptcy_Administrator
Email_Consent_Fields,Email_Consent_Fields
Last_Recent_Portal_Visit_Reminder_Type,Last_Recent_Portal_Visit_Reminder_Type
Allow_Ccb,Allow_Ccb
Other_Police_Report,Other_Police_Report_#
Other_Police_Stations,Other_Police_Stations
Vulnerability_Date,Vulnerability_Date
Vulnerability_Description,Vulnerability_Description
Vulnerability_Identified_By,Vulnerability_Identified_By
Vulnerability_Comments,Vulnerability_Comments
Person_Id_1,Person_Id_2
ZID,ZID
