db_col_name,csv_col_name
Extended_Debt_Code,Extended_Debt_Code
Client_Code,Client_Code
Client_Group,Client_Group
Document_Code,Document_Code
Date_Queued,Date_Queued
Date_Printed,Date_Printed
No_Of_Reprints,No_Of_Reprints
Note_Key,Note_Key
Date_De_Queued,Date_De-Queued
No_Of_Copies,No_Of_Copies
Doc_Link_Via,Doc_Link_Via
Document_Description,Document_Description
Dh_Status,Dh_Status
Skip_Reason,Skip_Reason
Multi_Letter_Keys,Multi_Letter_Keys
Document_Link_Mobile_No,Document_Link_Mobile_No
Document_Link_Email,Document_Link_Email
Doc_Link_Lock_Flag,Doc_Link_Lock_Flag
Doc_Link_Date,Doc_Link_Date
File_Only_Doc,File_Only_Doc
Email_Key,Email_Key
Sms_Key,Sms_Key
Operator_Code,Operator_Code
Delivery_Method_Manually_Selected,Delivery_Method_Manually_Selected
Solicited,Solicited
Rep_Flag,Rep_Flag
Charge_Code,Charge_Code
ZID,ZID
