db_col_name,csv_col_name
Full_Debt_Code,Full_Debt_Code
Client_Code,Client_Code
Client_Group,Client_Group
Short_Debt_Code,Short_Debt_Code
Account_No,Account_No
Mothers_Maiden_Name,Mothers_Maiden_Name
Blank3,Blank3
Comments,Comments
Indemnity_Debt_Amt_Of_Settlement,Indemnity_Debt_Amt_Of_Settlement
Settlement_Balance_Due_Date_Execution_Address_1,Settlement_Balance_Due_Date_Execution_Address_1
Employer_s_Name_Execution_Postcode,Employer_s_Name_Execution_Postcode
Last_Hardship_Date,Last_Hardship_Date
Last_Pay_Date_Before_Referral,Last_Pay_Date_Before_Referral
Last_Pay_Amt_Before_Referral,Last_Pay_Amt_Before_Referral
Date_Of_Last_Letter_Sent,Date_Of_Last_Letter_Sent
Direct_Debit_Date,Direct_Debit_Date
Summary_of_Issues_3_Current_Life_Support_Flag_T_Party_Issued_Against_Insured_Y_N,Summary_of_Issues_3_Current_Life_Support_Flag_T_Party_Issued_Against_Insured_<Y_N>?
Total_Outstanding_Total_Debts_for_all_Creditors_Total_Amt_Confesssed,Total_Outstanding_Total_Debts_for_all_Creditors_Total_Amt_Confesssed
Int_Amt_Stated_on_Acc_Int_Amt_Confessed,Int_Amt_Stated_on_Acc_Int_Amt_Confessed
Receipt_Address_1,Receipt_Address_1
Receipt_Address_2,Receipt_Address_2
Amount_Paid_Total_Payments,Amount_Paid_Total_Payments
Previous_Judgt_Date,Previous_Judgt_Date
Prev_Judgt_Costs,Prev_Judgt_Costs
Solicitor_Name,Solicitor_Name
Bill_Amounts_Document_Amount,Bill_Amounts_Document_Amount
Bill_Cycle_Due_Day,Bill_Cycle_Due_Day
Brand,Brand
Account_Type_Additional_Worktype,Account_Type_Additional_Worktype
Interest_Rate,Interest_Rate
Client_Advice,Client_Advice
Blank4,Blank4
Agent_Name,Agent_Name
Agent_Address_1,Agent_Address_1
Agent_Address_2,Agent_Address_2
Agent_Suburb,Agent_Suburb
Agent_State,Agent_State
Agent_Postcode,Agent_Postcode
Agent_Phone_No,Agent_Phone_No
Last_Payment_Date,Last_Payment_Date
Last_Payment_Amount,Last_Payment_Amount
Overdue_Amount,Overdue_Amount
Tot_Amt_Due,Tot_Amt_Due
Application_Address_Event_Date_For_Ahri_Client_Registered_Proprietor_Address_1,Application_Address_Event_Date_For_Ahri_Client_Registered_Proprietor_Address_1
Previous_Address_Previous_Details_Registered_Proprietor_Suburb,Previous_Address_Previous_Details_Registered_Proprietor_Suburb
Lot_No,Lot_No.
NAB_Original_Loan_Amount,NAB_Original_Loan_Amount
NAB_Payment_Status,NAB_Payment_Status
Initial_Payment_Amount_NAB_Arrangement_Amount,Initial_Payment_Amount_NAB_Arrangement_Amount
Broken_Arrangement_Date_Arrangement_Frequency_NAB_Arrangement_Frequency,Broken_Arrangement_Date_Arrangement_Frequency_NAB_Arrangement_Frequency
NAB_Letter_Date,NAB_Letter_Date
NAB_Instruction,NAB_Instruction
Account_Status,Account_Status
Claim_No_PRN_Number,Claim_No_PRN_Number
Centrelink_Region_Office_Code_Location_Code_Previous_Primary_Acc_No,Centrelink_Region_Office_Code_Location_Code_Previous_Primary_Acc_No
Centrelink_Recovery_Period_End_Date_Loan_Term_Original_Loan_Term,Centrelink_Recovery_Period_End_Date_Loan_Term_Original_Loan_Term
Temporary_Credit_Limit,Temporary_Credit_Limit
Credit_Listing,Credit_Listing
Hardship_Request_Date,Hardship_Request_Date
Hardhisp_Reason,Hardhisp_Reason
Hardship_Approval_Date,Hardship_Approval_Date
Hardhisp_Treatment_Type,Hardhisp_Treatment_Type
Hardship_Treatment_End_Date,Hardship_Treatment_End_Date
Past_Due_Date,Past_Due_Date
Account_Date_Last_Payment_Made,Account_Date_Last_Payment_Made
Account_Last_Payment_Amount,Account_Last_Payment_Amount
Credit_Card_Minimum_Repayment,Credit_Card_Minimum_Repayment
Instalment_Value,Instalment_Value
Due_Date,Due_Date
Loan_Amount,Loan_Amount
Centrleink_Rang_Out_Client_Result_Nab_Crb_Acc_Id,Centrleink_Rang_Out_Client_Result_Nab_Crb_Acc_Id
Centrleink_Rang_Out_Debtor_Result_Nab_Crb_Acc_Sub_Id,Centrleink_Rang_Out_Debtor_Result_Nab_Crb_Acc_Sub_Id
Centrleink_Rang_Out_Representative_Result_Overdraft_Indicator,Centrleink_Rang_Out_Representative_Result_Overdraft_Indicator
Centrleink_E_W_P_Search_Success_y_n,Centrleink_E.W.P._Search_Success_(y_n)
Third_Party_Driver_Request,Third_Party_Driver_Request
Relatvie_Name,Relatvie_Name
Relative_s_Relationship_To_Debtor,Relative_s_Relationship_To_Debtor
Relative_s_Telephone,Relative_s_Telephone
Deceased_Date,Deceased_Date
Resident_Status,Resident_Status
Bill_Date_Payment_Date,Bill_Date_Payment_Date
Amount_Outstanding,Amount_Outstanding
Total_Charges_Tax_File_Number,Total_Charges_Tax_File_Number
Total_Amount_Due_A_B_N,Total_Amount_Due_A_B_N
Amount_Received_Cac,Amount_Received_Cac
Bill_Adjustment_Debt_Type,Bill_Adjustment_Debt_Type
Referred_Balance,Referred_Balance
Current_Balance,Current_Balance
Warning_Date,Warning_Date
Cred_Corp_Status,Cred_Corp_Status
Cred_Corp_Entity,Cred_Corp_Entity
Cc_Payment_Amount,Cc_Payment_Amount
Cred_Corp_Int_Date,Cred_Corp_Int_Date_
Purchase_Price,Purchase_Price
Date_Account_Opened,Date_Account_Opened
Credit_Limit,Credit_Limit
Charge_Off_Balance,Charge_Off_Balance
Autowithdraw,Autowithdraw
_3rd_Party_Auth,3rd_Party_Auth
Return_Enrolment,Return_Enrolment
Hardship_Flag_Self_Employed,Hardship_Flag_Self_Employed
Account_Class_Job_Class,Account_Class_Job_Class
Mercantile_Job_Title,Mercantile_Job_Title
Merc_Flag_Prev_Home_Area,Merc_Flag_Prev_Home_Area
Relationship_Postcode,Relationship_Postcode
Relationship_Phone_Area,Relationship_Phone_Area
Relationship_Phone_No,Relationship_Phone_No
Accountant,Accountant
Old_Post_Code,Old_Post_Code
BPAY_reference,BPAY_reference
Last_Purchase_Date,Last_Purchase_Date
Days_Delinquent,Days_Delinquent
Arrears_Total_Overdue,Arrears_Total_Overdue
Last_Address_Change_Date,Last_Address_Change_Date
Account_Open_Date,Account_Open_Date
Last_Bill_Date,Last_Bill_Date
Aged_History,Aged_History
Last_Monetary_Amount_Last_Pay_Amount,Last_Monetary_Amount_Last_Pay_Amount
Write_off_Date,Write-off_Date
Write_off_Amount,Write-off_Amount
Account_End_Date,Account_End_Date
Last_Monetary_Type_Last_Payment_Type,Last_Monetary_Type_Last_Payment_Type
Last_Monetary_Date_Last_Pay_Date,Last_Monetary_Date_Last_Pay_Date
Business_Unit,Business_Unit
Rent_Or_Own,Rent_Or_Own
Landlord_mort_Name_Times_In_Collection,Landlord_mort_Name_Times_In_Collection
Last_Activity_Date,Last_Activity_Date
Last_Contact_Activity,Last_Contact_Activity
Current_Due,Current_Due
Months_In_Arrears_Cycles_Delinquent,Months_In_Arrears_Cycles_Delinquent
Default_List_Status,Default_List_Status
Concession_Concession_Type,Concession_Concession_Type
Business_Name,Business_Name
Gross_Annual_Salary_Cancel_Reason,Gross_Annual_Salary_Cancel_Reason
Card_Name,Card_Name
Limit_on_application,Limit_on_application
Cycle_Days,Cycle_Days
Payment_Due_Amount,Payment_Due_Amount
Agency_Code,Agency_Code
S88_Date_DN_Expiry_Date,S88_Date_DN_Expiry_Date
Instal_Amount,Instal_Amount
Next_Statement_Date,Next_Statement_Date
F412_Bal_Counter,F412_Bal_Counter
Cba_Matter_Ref,Cba_Matter_Ref
Di_S88issdate,Di_S88issdate
Days_Past_Due,Days_Past_Due
Cycle_History_Date,Cycle_History_Date
Cycle_History_Days,Cycle_History_Days
Cycle_Days_History_Expected_Monthly_Minimum_Payment_Min_Pay_Updated,Cycle_Days_History_Expected_Monthly_Minimum_Payment_Min_Pay_Updated
Cycle_Days_History_Total_Past_Due_Update,Cycle_Days_History_Total_Past_Due_Update
Minimum_Installment_Repay_Amount_Total_Exposure_Update,Minimum_Installment_Repay_Amount_Total_Exposure_Update
Amount_Outstanding_Update,Amount_Outstanding_Update
Date_Bals_Updated,Date_Bals_Updated
Bill_No_Document_No_Billing_Code_Original_Creditor_Account_Ref,Bill_No_Document_No_Billing_Code_Original_Creditor_Account_Ref
Bill_Reason,Bill_Reason
Bill_Total,Bill_Total
Bill_Issued_Date,Bill_Issued_Date
Bill_Due_Date_Doc_Due_Date,Bill_Due_Date_Doc_Due_Date
Total_Assets,Total_Assets
Equip_Description,Equip_Description
Asset_Description,Asset_Description
Vin_Serial_Number,Vin_Serial_Number
Registration_Number,Registration_Number
Arrears_Past_Due_Upd,Arrears_Past_Due_Upd
Arrears_30dy_Upd,Arrears_30dy_Upd
Arrears_60dy_Upd,Arrears_60dy_Upd
Arrears_90dy_Upd,Arrears_90dy_Upd
Arrears_120dy_Upd,Arrears_120dy_Upd
Arrears_150dy_Upd,Arrears_150dy_Upd
Arrears_180dy_Upd,Arrears_180dy_Upd
Arrears_Vintage_Upd,Arrears_Vintage_Upd
No_Time_Delinquent,No_Time_Delinquent
No_Times_Bankrupt,No_Times_Bankrupt
Client_Name,Client_Name
Country_Of_Origin,Country_Of_Origin
Assignment_Id,Assignment_Id
Assignment_Type,Assignment_Type
Default_Date,Default_Date
Default_Amount,Default_Amount
Interest_To_Date,Interest_To_Date
Report_Status,Report_Status
Tdx_Closure_Reason_Code,Tdx_Closure_Reason_Code
Sent_To_Client,Sent_To_Client
Di_Phones,Di_Phones
Last_Letter_Date,Last_Letter_Date
Di_Applblkrc,Di_Applblkrc
Earliest_Transaction_Di_Entrydate,Earliest_Transaction_Di_Entrydate
Last_Invoice_Id,Last_Invoice_Id
Security_Details,Security_Details
Rent,Rent
Maintenance,Maintenance
Doc_Status_Billing_Method_Last_Pay_Method_Di_Tdxpaymeth,Doc_Status_Billing_Method_Last_Pay_Method_Di_Tdxpaymeth
Di_Tdxprodno_Toll_Product,Di_Tdxprodno_Toll_Product
Di_Holddate,Di_Holddate
Di_Releasedate,Di_Releasedate
Charge_Off_Date,Charge_Off_Date
Loan_Purpose,Loan_Purpose
LoanDate,LoanDate
LoanRemaining_Term,LoanRemaining_Term
Block_Re_class,Block_Re-class
Direct_Debit_Frequency,Direct_Debit_Frequency
Direct_Debit_Amount,Direct_Debit_Amount
Direct_Debit_Bsb,Direct_Debit_Bsb
Direct_Debit_Account_No,Direct_Debit_Account_No
Mortgage,Mortgage
Skiptrace_Status,Skiptrace_Status
Skiptrace_Keys,Skiptrace_Keys
Account_Cycle_Date,Account_Cycle_Date
Last_Database_Search,Last_Database_Search
Status_Of_Search,Status_Of_Search
Move_in_Date,Move_in_Date
Move_out_Date,Move_out_date
NMI,NMI
Last_Due_Date,Last_Due_Date
Last_Due_Amount,Last_Due_Amount
End_Date,End_Date
Company_Code,Company_Code
Determination_Id_CP_Account_No,Determination_Id_CP_Account_No
Di_State,Di_State
Death_Cert_Recd,Death_Cert_Recd
Insurance_Ind,Insurance_Ind
_6Q_Date,6Q_Date
_21D_Date,21D_Date
_6Q_Amount,6Q_Amount
_21D_Amount,21D_Amount
Exempt_Default,Exempt_Default
Skiptrace_Actioned,Skiptrace_Actioned
Review_Balance,Review_Balance
Balance_Adjustment_Type,Balance_Adjustment_Type
Balance_Adjustment_Date,Balance_Adjustment_Date
Balance_Adjustment_Amount,Balance_Adjustment_Amount
Over_Drawn_Letter_Date,Over_Drawn_Letter_Date
Portal_Status,Portal_Status
Thrid_Party_Bankrupt,Thrid_Party_Bankrupt?
Thrid_Party_Deceased,Thrid_Party_Deceased?
Comments_1,DI_Comments
Last_Login_Date,Last_Login_Date
Days_Since_Last_Login,Days_Since_Last_Login
Last_Login_Time,Last_Login_Time
Login_Method,Login_Method
Less_Than_7_Days_Login,Less_Than_7_Days_Login
Less_Than_14_Days_Login,Less_Than_14_Days_Login
Less_Than_21_Days_Login,Less_Than_21_Days_Login
Di_More21dayslogin,Di_More21dayslogin
Total_Logins,Total_Logins
Total_Mobile_Logins,Total_Mobile_Logins
Total_Pc_Logins_In_30_Days,Total_Pc_Logins_In_30_Days
Risk_Client_Risk_Code,Risk_Client_Risk_Code
Amount_Purchased,Amount_Purchased
Amount_Deposited,Amount_Deposited
Instalment_Fee_Additional_Fees,Instalment_Fee_Additional_Fees
Amount_Financed,Amount_Financed
Amount_Pts,Amount_Pts
Amount_Received_Coll,Amount_Received_Coll
Amount_Received_On_Plan,Amount_Received_On_Plan
Since_Date,Since_Date
Property_Reference_Di_Proptype,Property_Reference_Di_Proptype
Pooltype,Pooltype
Nab_Dfn_Arrears,Nab_Dfn_Arrears
