db_col_name,csv_col_name
Extended_Debt_Code,Extended_Debt_Code
Client_Code,Client_Code
Client_Group,Client_Group
HS_Date_Triggered,HS_Date_Triggered
Hardship_Cause,Hardship_Cause
Other_Cause,Other_Cause
Status,Status
Withdrawn_Reason,Withdrawn_Reason
Withdrawn_Date,Withdrawn_Date
Assessment_Result,Assessment_Result
Approved_Date,Approved_Date
Declined_Reason,Declined_Reason
Declined_Date,Declined_Date
Interest_Paused_From,Interest_Paused_From
Interest_Paused_To,Interest_Paused_To
Moratorium_Start,Moratorium_Start
Moratorium_End,Moratorium_End
Waiver_Requested,Waiver_Requested
Waiver_Status,Waiver_Status
Waiver_Amount,Waiver_Amount
Current_Step,Current_Step
Current_Step_Date,Current_Step_Date
Next_Step,Next_Step
Next_Step_Date,Next_Step_Date
Sofp_Assessment,Sofp_Assessment
Status_Change_History,Status_Change_History
Status_Change_Date,Status_Change_Date
Document_History,Document_History
Document_History_Date,Document_History_Date
Arrangement_Added,Arrangement_Added
Deal_Added,Deal_Added
Link_Method,Link_Method
Review_Date,Review_Date
Preferred_Hardship_Contact_Method,Preferred_Hardship_Contact_Method
Date_Sofp_Requested,Date_Sofp_Requested
Sofp_Return_Extension,Sofp_Return_Extension
Email_Disclaimer,Email_Disclaimer
Application_Submitted,Application_Submitted
Medical_Report,Medical_Report
Centrelink_Statement,Centrelink_Statement
Letter_From_University,Letter_From_University
Audit_Print_Date,Audit_Print_Date
Client_Transfer_Date,Client_Transfer_Date
Hardship_Comments,Hardship_Comments
NAB_Withdrawn_Reason,NAB_Withdrawn_Reason
NAB_Withdrawn_Date,NAB_Withdrawn_Date
NAB_Hardship_Cause,NAB_Hardship_Cause
NAB_Consent,NAB_Consent
NAB_Review_Date,NAB_Review_Date
NAB_Hardship_End_Date,NAB_Hardship_End_Date
Documents_Received_Date,Documents_Received_Date
Document_Sent_Date,Document_Sent_Date
Expected_Outcome_Date,Expected_Outcome_Date
Client_Outcome_Date,Client_Outcome_Date
Client_Date_Change_Reason,Client_Date_Change_Reason
Waiting_For_Documents,Waiting_For_Documents
Client_Docs_Hist_Date,Client_Docs_Hist_Date
Client_Docs_Action_Hist,Client_Docs_Action_Hist
Client_Docs_Op_Hist,Client_Docs_Op_Hist
Client_Docs_Reason_Hist,Client_Docs_Reason_Hist
Client_Docs_Date_Entered,Client_Docs_Date_Entered
Application_Origin,Application_Origin
Application_By,Application_By
Client_Reminder_Sent,Client_Reminder_Sent
Date_Entered,Date_Entered
Operator_Entered,Operator_Entered
Amended_Dates,Amended_Dates
Operator_Amended,Operator_Amended
Customer_1,Customer_1
Customer_2,Customer_2
Employment_Status_1,Employment_Status_1
Employment_Status_2,Employment_Status_2
Other_Employment_1,Other_Employment_1
Other_Employment_2,Other_Employment_2
Years_Service_Debtor_1,Years_Service_Debtor_1
Years_Service_Debtor_2,Years_Service_Debtor_2
Period_Unemployed_Debtor_1,Period_Unemployed_Debtor_1
Period_Unemployed_Debtor_2,Period_Unemployed_Debtor_2
Income_1,Income_1
Income_2,Income_2
Other_Income,Other_Income
Centrelink_Income,Centrelink_Income
Assets_Cheque_Acc,Assets_Cheque_Acc
Assets_Savings_Acc,Assets_Savings_Acc
Assets_Superannuation,Assets_Superannuation
Assets_Other,Assets_Other
Property_Address_1,Property_Address_1
Property_Address_2,Property_Address_2
Property_Suburb,Property_Suburb
Property_State,Property_State
Property_Post_Code,Property_Post_Code
Vehicle_1_Make,Vehicle_1_Make
Vehicle_1_Model,Vehicle_1_Model
Vehicle_1_Year,Vehicle_1_Year
Vehicle_2_Make,Vehicle_2_Make
Vehicle_2_Model,Vehicle_2_Model
Vehicle_2_Year,Vehicle_2_Year
Credit_Card_Type_1,Credit_Card_Type_1
Credit_Card_Balance_1,Credit_Card_Balance_1
