db_col_name,csv_col_name
Extended_Debt_Code,Extended_Debt_Code
Client_Code,Client_Code
Client_Group,Client_Group
Date_Entered,Date_Entered
Operator,Operator
Text,Text
Action_Code,Action_Code
Tran_Key,Tran_Key
Source_Id,Source_Id
Doc_No,Doc_No
Private_Diary_Note,Private_Diary_Note
Effective_Client_Date,Effective_Client_Date
Client_Note,Client_Note
Transferred_to_Client_Date,Transferred_to_Client_Date
Transaction_Transferred_Date,Transaction_Transferred_Date
Reconciliation_Transferred_to_Client_Date,Reconciliation_Transferred_to_Client_Date
SMS_Key,SMS_Key
ATO_Liability_Flag,ATO_Liability_Flag
EMAIL_Key,EMAIL_Key
Treatment_Code,Treatment_Code
Chat_ID,Chat_ID
POI_Key,POI_Key
Date_Transferred_to_Evolve,Date_Transferred_to_Evolve
ZID,ZID
