db_col_name,csv_col_name
Debt_Code,Debt_Code
Client_Code,Client_Code
Client_Group_Code,Client_Group_Code
Account_No,Account_No_1
Payment_Code,Payment_Code
Date_Time_Entered,Date_Time_Entered
Effective_Date,Effective_Date
Debt_Codes,Debt_Codes
Payment_Amount,Payment_Amount
Paid_By_Name,Paid_By_Name
Cheque_No,Cheque_No
BSB_Code,BSB_Code
Account_No_1,Account_No_1.1
Payment_Method,Payment_Method
Debtor,Debtor
Payment_Amount_1,Payment_Amount_1
Transaction_No,Transaction_No
Receipt_Y_N,Receipt_Y/N
Receipt_Address,Receipt_Address
Credit_Card_Expiry_Date,Credit_Card_Expiry_Date
Bank_Code,Bank_Code
Bank_Lodgement_No,Bank_Lodgement_No
Days_Clearance,Days_Clearance
Payment_Status,Payment_Status
Comm_Amt,Comm_Amt
Payment_Type,Payment_Type
Client,Client
Debt_Payment_Allocation,Debt_Payment_Allocation
Agency_Costs_Allocation,Agency_Costs_Allocation
Date_Cleared,Date_Cleared
Date_Dishonoured,Date_Dishonoured
Payment_Batch_Load_No,Payment_Batch_Load_No
Agt_Chrg,Agt_Chrg
Cl_Trans,Cl_Trans
Transit_Register,Transit_Register
Cash_Receipt_Number,Cash_Receipt_Number
Chrg_Code,Chrg_Code
Rev_Code,Rev_Code
Reversal_Annotation,Reversal_Annotation
Payment_Operator,Payment_Operator
Payment_deposit_date,Payment_deposit_date
Payment_Description,Payment_Description
Bill_Pay_Source,Bill_Pay_Source
Clink_Debt_ID,Clink_Debt_ID
Transaction_Keys,Transaction_Keys
Transaction_Amounts,Transaction_Amounts
Settlement_Discount,Settlement_Discount
Quick_Books_Code,Quick_Books_Code
Orig_Pay_Ref,Orig_Pay_Ref
Cba_Reconciliation_File,Cba_Reconciliation_File
Client_Reference_No,Client_Reference_No.
Dr_Method,Dr_Method
Client_Transfer_Date,Client_Transfer_Date
Overpayment_Unalloc,Overpayment_Unalloc
Possible_Debts,Possible_Debts
Ovp_Db_Code,Ovp_Db_Code
Orig_Amt,Orig_Amt
Pa_Ovpunallocamt_Amounts,Pa_Ovpunallocamt_Amounts
Payment_App_Code,Payment_App_Code
Full_Reference_Details,Full_Reference_Details
Settlement_Date,Settlement_Date
NTID,NTID
Currency,Currency
PA_Amt,PA_Amt
EFT_Processed_Flag,EFT_Processed_Flag
AllocatedPrincipal,AllocatedPrincipal
AllocatedOverpayment,AllocatedOverpayment
AllocatedCost,AllocatedCost
ZID,ZID
