db_col_name,csv_col_name
Extended_Debt_Code,Extended_Debt_Code
Client_Code,Client_Code
Client_Group_Code,Client Group Code
Account_No,Account_No
Last_Name,Last_Name
First_Name,First_Name
Email_Address,Email_Address
Contact_Name,Contact_Name
Salutation,Salutation
Dx_Number,Dx_Number
Related_Party_Type_Code,Related_Party_Type_Code
Start_Date,Start_Date
Date_Of_Birth,Date_Of_Birth
Reference,Reference
Position,Position
Block_Letter,Block_Letter
Nationality,Nationality
Person_Id,Person_Id
Witness_Statement,Witness_Statement
Title,Title
Bankruptcy,Bankruptcy
Customer_Reference,Customer_Reference
Phone_Type,Phone_Type
Phone_No,Phone No
Phone_Validity,Phone_Validity
Phone_Start,Phone_Start
Phone_End,Phone_End
Phone_Preferred_Flag,Phone_Preferred_Flag
Phone_Last_Contact_Date_Time,Phone_Last_Contact_Date_Time
Phone_Score,Phone_Score
Phone_No_Changed_By,Phone_No_Changed_By
Phone_No_Changed_Date_Time,Phone_No_Changed_Date_Time
Block_SMS,Block_SMS
Block_Email,Block_Email
A_B_N,ACN
Other_Email,Other_Email
Street_Address,Street_Address
Mailing_Address,Mailing_Address
ZID,ZID
