db_col_name,csv_col_name
Extended_Debt_Code,Extended_Debt_Code
Client_Code,Client_Code
Client_Group_Code,Client_Group Code
Account_No,Account_No
Date,Date
Particulars,Particulars
Direct_Debt_Amount,Direct_Debt_Amount
Direct_Interest_Amount,Direct_Interest_Amount
Direct_Cost_Amount,Direct_Cost_Amount
Direct_UIL_Amount,Direct_UIL_Amount
Trust_Debt_Amount,Trust_Debt_Amount
Trust_Interest_Amount,Trust_Interest_Amount
Trust_Cost_Amount,Trust_Cost_Amount
Trust_UIL_Amount,Trust_UIL_Amount
Tran_Key,Tran_Key
Range_Flag,Range_Flag
Debt_Ref_No,Debt_Ref._No.
Gst_Amount,Gst_Amount
Type,Type
Direct_Commission_Amount,Direct_Commission_Amount
Trust_Commission_Amount,Trust_Commission_Amount
Closed_Flag,Closed_Flag
Tp_Insurer_Code,Tp_Insurer_Code
Accounting_Month,Accounting_Month
Run_Name,Run_Name
Refund_Amount,Refund_Amount
Transfer_Amount,Transfer_Amount
Refund_Date,Refund_Date
Transfer_Date,Transfer_Date
Invoice_Number,Invoice_Number
Invoice_Date,Invoice_Date
Eft_Date,Eft_Date
BPAY_Batch_Date,BPAY_Batch_Date
Trrf_Link,Trrf_Link
Client_Payment_Id,Client_Payment_Id
Client_Payment_Amount,Client_Payment_Amount
Print_On_Statement_Flag,Print_On_Statement_Flag
Cheque_Request_Date,Cheque_Request_Date
Date_Statement_Record_Created,Date_Statement_Record_Created
Invoice_No,Invoice_No.
Netsuite_Date,Netsuite_Date
Unique_Transid,Unique_Transid
column43,ZID
