db_col_name,csv_col_name
Extended_Debt_Code,Extended_Debt_Code
Client_Code,Client_Code
Client_Group,Client_Group
Date,Date
Type,Type
Phone,Phone
Outcome,Outcome
Letter_Address,Letter_Address
Document_Ref_No,Document_Ref_No
Date_Printed,Date_Printed
Payment_Code,Payment_Code
Date_Sent_to_Client,Date_Sent_to_Client
Sms_Outcome,Sms_Outcome
Poi_Key,Poi_Key
Letter_Name,Letter_Name
Date_De_queued,Date_De-queued
Date_Returned,Date_Returned
Multi_Recipient_Key,Multi_Recipient Key
Letter_Total_Outstanding,Letter_Total_Outstanding
SMS_Key,SMS_Key
Request_Call_Deletion_Date,Request_Call_Deletion_Date
Request_Call_Deletion_Time,
Request_Call_Deletion_Operator,Request_Call_Deletion_Operator
Email_Address,Email_Address
SqlUpd,SqlUpd
Solicited,Solicited
Sent_to_Client,Sent_to_Client
Workdesk_Email_Key,Workdesk_Email_Key
Ak_Email_Key,Ak_Email_Key
Activity_Report_Sent,Activity_Report_Sent
