db_col_name,csv_col_name
Full_Debt_Code,Full_Debt_Code
Client_Code,Client_Code
Client_Group,Client_Group
Short_Debt_Code,Short_Debt_Code
Account_No,Account_No
DRDBINVOICE_Key,DRDBINVOICE_Key
Invoice_Number,Invoice_Number
Invoice_Date,Invoice_Date
Entry_Date,Entry_Date
Invoice_Amount,Invoice_Amount
Invoice_Costs,Invoice_Costs
Total_Paid_Amount,Total_Paid_Amount
Outstanding,Outstanding
Description,Description
Date_Paid,Date_Paid
Paid_Amount,Paid_Amount
Pay_Tran_Key,Pay_Tran_Key
Paid_Status,Paid_Status
Operator_Id,Operator_Id
Control_Flag,Control_Flag
Recall_Date,Recall_Date
Sequence_No,Sequence_No
Inv_Recalled_By,Inv_Recalled_By
Inv_Policyno,Inv_Policyno
Operator_Id2,Operator_Id2
Orig_Outstanding_Inv_Bal,Orig_Outstanding_Inv_Bal
