db_col_name,csv_col_name
Full_Debt_Code,Full_Debt_Code
Client_Code,Client_Code
Client_Group,Client_Group
Short_Debt_Code,Short_Debt_Code
Account_No,Account_No
Invoice_Number,Invoice_Number
Invoice_Date,Invoice_Date
Invoice_Amount,Invoice_Amount
Invoice_Paid,Invoice_Paid
Invoice_Balance,Invoice_Balance
Invoice_Part_Paid,Invoice_Part_Paid
Invoice_Pay_Code,Invoice_Pay_Code
Invoice_Web_Ref_Number,Invoice_Web_Ref_Number
Invoice_In_Patient,Invoice_In_Patient
Invoice_Referral_Date,Invoice_Referral_Date
Invoice_Doctor_Name,Invoice_Doctor_Name
Invoice_Collection_Centre,Invoice_Collection_Centre
Invoice_Flag,Invoice_Flag
Next_Of_Kin_Name,Next_Of_Kin_Name
Next_Of_Kin_Address,Next_Of_Kin_Address
Next_Of_Kin_Phone,Next_Of_Kin_Phone
Seqno,Seqno
Payment_Amount,Payment_Amount
Payment_Key_Of_Payment,Payment_Key_Of_Payment
Payment_Date,Payment_Date
Recall_Operator,Recall_Operator
Recall_Date_Time,Recall_Date_Time
Invoice_Description,Invoice_Description
