db_col_name,csv_col_name
Extended_Debt_Code,Extended_Debt_Code
Client_Code,Client_Code
Client_Group,Client_Group
Date_to_Send,Date_to_Send
Date_Queued,Date_Queued
Date_Sent,Date_Sent
Debtor_Code,Debtor_Code
Mobile_Phone,Mobile_Phone
Message_Text,Message_Text
Type,Type
Staggered,Staggered
Operator_Code,Operator_Code
Error_Message,Error_Message
Related_Party_Code,Related_Party_Code
Solicited,Solicited
Sms_Scheduled_Date,Sms_Scheduled_Date
Req_ID,Req_ID
State,State
Doc_Hist_Code,Doc_Hist_Code
Sms_Provider,Sms_Provider
Zone_Sent_Date,Zone_Sent_Date
Sms_Sent_To_Representative,Sms_Sent_To_Representative
Other_Recipient_Type,Other_Recipient_Type
Sms_Source_Tag,Sms_Source_Tag
ZID,ZID
