db_col_name,csv_col_name
Extended_Debt_Code,Extended_Debt_Code
Client_Code,Client_Code
Client_Group_Code,Client_Group_Code
Account_No,Account_No
Type,Type
Eff_Date,Eff_Date
Note_Key,Note_Key
Dtr_Amount,Dtr_Amount
Debt_Code,Debt_Code
Payment_No,Payment_No
Cl_Amount,Cl._Amount
Cl_Code,Cl._Code
Pay_Tran_No,Pay._Tran._No.
Comm_Tran,Comm._Tran.
Rev_By_Tr,Rev._By_Tr.
Rev_Of_Tr,Rev._Of_Tr.
Nft_Amt,Nft_Amt
Ass_Cl_Tr,Ass_Cl_Tr
Ass_Ag_Tr,Ass_Ag_Tr
Cl_GST_Amt,Cl_GST_Amt
Dr_GST_Amt,Dr_GST_Amt
Show_Rev_On_Stmt,Show_Rev_On_Stmt
Date_Posted,Date_Posted
Debt_Outstanding,Debt_Outstanding
Orig_Op,Orig._Op.
Team_Code,Team_Code
Rev_Code,Rev_Code
Reverse_Other_Info,Reverse_Other_Info
Comm_Code,Comm._Code
Pay_Source,Pay_Source
Statement_Flag,Statement_Flag
Nft_Client_Code,Nft_Client_Code
Orig_Op_code_Was,Orig_Op_code_Was
PAYT_Key,PAYT_Key
Invoice_Number,Invoice_Number
Eft_Transfer_Process_Flag,Eft_Transfer_Process_Flag
ZID,ZID
